,voxel_x,voxel_y,voxel_z,currentStep,struggleValue,rowCount
3461,1.0,1.1,-3.2,1,142.487658,1
14,-1.9,2.8,-3.2,1,142.487658,1
3563,1.0,1.2,-3.1,1,79.64248253333334,3
2399,0.8,1.0,-2.6,1,142.487658,1
5617,1.2,1.5,-2.9,1,37.6965788,2
3573,1.0,1.2,-3.0,1,79.64248253333334,3
5593,1.2,1.4,-2.8,1,37.49394563125,16
3587,1.0,1.2,-2.9,1,32.2472166,2
2395,0.8,1.0,-2.7,1,48.2198948,1
4968,1.2,0.9,-3.1,1,142.487658,1
3606,1.0,1.2,-2.7,1,34.4544481,1
1192,-1.3,1.3,-4.2,1,21.7635679,1
3627,1.0,1.2,-2.5,1,13.6521379,1
5583,1.2,1.4,-2.9,1,37.6965788,3
2389,0.8,1.0,-2.9,1,15.6515276,4
280,-1.5,1.0,-4.8,1,11.9872177,4
3637,1.0,1.3,-3.6,1,33.9024795,1
3638,1.0,1.3,-3.4,1,142.487658,1
3556,1.0,1.2,-3.2,1,142.487658,4
3457,1.0,1.1,-3.3,1,41.83082352,5
5624,1.2,1.5,-2.8,1,35.79952915,2
502,-1.4,0.8,-4.6,1,11.9872177,5
5864,1.3,1.0,-3.1,1,11.2155409,1
3468,1.0,1.1,-3.1,1,142.487658,7
6546,1.4,1.1,-3.0,1,32.88950174666667,45
1745,-0.4,1.5,-3.0,1,142.487658,1
2424,0.8,1.0,-2.3,1,142.487658,1
3494,1.0,1.1,-2.9,1,142.487658,1
4988,1.2,0.9,-3.0,1,20.6969998,4
3509,1.0,1.1,-2.8,1,80.2621187,4
731,-1.4,1.2,-4.4,1,12.9373471,4
3516,1.0,1.1,-2.7,1,13.6521379,2
3529,1.0,1.1,-2.6,1,37.6965788,1
5654,1.2,2.3,-3.7,1,142.487658,1
2413,0.8,1.0,-2.4,1,142.487658,2
3549,1.0,1.2,-3.6,1,33.9024795,9
6565,1.4,1.1,-2.9,1,32.99595037352941,34
13,-1.9,2.2,-2.3,1,142.487658,1
3552,1.0,1.2,-3.3,1,142.487658,1
2405,0.8,1.0,-2.5,1,69.45133908,5
5078,1.2,1.0,-3.2,1,142.487658,1
3292,1.0,0.9,-2.9,1,99.96861896666667,3
2386,0.8,1.0,-3.0,1,15.6515276,13
6201,1.3,1.3,-3.0,1,52.459983083333334,6
644,-1.4,1.1,-4.6,1,11.9872177,1
5108,1.2,1.0,-3.0,1,120.67626885,6
